% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.522	1	1	53	3	1	2	137
0.028	1	1	3	9	1	0	85
0.523	1	1	53	4	1	2	137
0.524	1	1	53	5	1	2	137
0.029	1	1	3	10	1	0	85
0.03	1	1	4	1	1	0	85
0.525	1	1	53	6	1	2	137
0.031	1	1	4	2	1	0	85
0.526	1	1	53	7	1	2	137
0.527	1	1	53	8	1	2	137
0.032	1	1	4	3	1	0	85
0.528	1	1	53	9	1	2	137
0.033	1	1	4	4	1	0	85
0.529	1	1	53	10	1	2	137
0.034	1	1	4	5	1	0	85
0.53	1	1	54	1	1	2	137
0.035	1	1	4	6	1	0	85
0.531	1	1	54	2	1	2	137
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.532	1	1	54	3	1	2	137
0.038	1	1	4	9	1	0	85
0.533	1	1	54	4	1	2	137
0.039	1	1	4	10	1	0	85
0.534	1	1	54	5	1	2	137
0.04	1	1	5	1	1	0	85
0.535	1	1	54	6	1	2	137
0.041	1	1	5	2	1	0	85
0.536	1	1	54	7	1	2	137
0.042	1	1	5	3	1	0	85
0.537	1	1	54	8	1	2	137
0.043	1	1	5	4	1	0	85
0.538	1	1	54	9	1	2	137
0.539	1	1	54	10	1	2	137
0.044	1	1	5	5	1	0	85
0.045	1	1	5	6	1	0	85
0.54	1	1	55	1	1	2	137
0.046	1	1	5	7	1	0	85
0.541	1	1	55	2	1	2	137
0.047	1	1	5	8	1	0	85
0.542	1	1	55	3	1	2	137
0.048	1	1	5	9	1	0	85
0.543	1	1	55	4	1	2	137
0.049	1	1	5	10	1	0	85
0.544	1	1	55	5	1	2	137
0.05	1	1	6	1	1	0	85
0.545	1	1	55	6	1	2	137
0.546	1	1	55	7	1	2	137
0.051	1	1	6	2	1	0	85
0.052	1	1	6	3	1	0	85
0.547	1	1	55	8	1	2	137
0.053	1	1	6	4	1	0	85
0.548	1	1	55	9	1	2	137
0.054	1	1	6	5	1	0	85
0.549	1	1	55	10	1	2	137
0.055	1	1	6	6	1	0	85
0.55	1	1	56	1	1	2	137
0.551	1	1	56	2	1	2	137
0.056	1	1	6	7	1	0	85
0.057	1	1	6	8	1	0	85
0.552	1	1	56	3	1	2	137
0.058	1	1	6	9	1	0	85
0.553	1	1	56	4	1	2	137
0.059	1	1	6	10	1	0	85
0.554	1	1	56	5	1	2	137
0.06	1	1	7	1	1	0	85
0.555	1	1	56	6	1	2	137
0.556	1	1	56	7	1	2	137
0.557	1	1	56	8	1	2	137
0.558	1	1	56	9	1	2	137
0.559	1	1	56	10	1	2	137
0.56	1	1	57	1	1	2	137
0.561	1	1	57	2	1	2	137
0.562	1	1	57	3	1	2	137
0.563	1	1	57	4	1	2	137
0.564	1	1	57	5	1	2	137
0.565	1	1	57	6	1	2	137
0.566	1	1	57	7	1	2	137
0.567	1	1	57	8	1	2	137
0.568	1	1	57	9	1	2	137
0.569	1	1	57	10	1	2	137
0.57	1	1	58	1	1	2	137
0.571	1	1	58	2	1	2	137
0.572	1	1	58	3	1	2	137
0.573	1	1	58	4	1	2	137
0.574	1	1	58	5	1	2	137
0.575	1	1	58	6	1	2	137
0.576	1	1	58	7	1	2	137
0.577	1	1	58	8	1	2	137
0.578	1	1	58	9	1	2	137
0.579	1	1	58	10	1	2	137
0.58	1	1	59	1	1	2	137
0.581	1	1	59	2	1	2	137
0.582	1	1	59	3	1	2	137
0.583	1	1	59	4	1	2	137
0.584	1	1	59	5	1	2	137
0.585	1	1	59	6	1	2	137
0.586	1	1	59	7	1	2	137
0.587	1	1	59	8	1	2	137
0.588	1	1	59	9	1	2	137
0.589	1	1	59	10	1	2	137
0.59	1	1	60	1	1	2	137
0.591	1	1	60	2	1	2	137
0.592	1	1	60	3	1	2	137
0.593	1	1	60	4	1	2	137
0.594	1	1	60	5	1	2	137
0.595	1	1	60	6	1	2	137
0.596	1	1	60	7	1	2	137
0.597	1	1	60	8	1	2	137
0.598	1	1	60	9	1	2	137
0.599	1	1	60	10	1	2	137
1.067	1	1	107	8	1	0	85
1.068	1	1	107	9	1	0	85
1.069	1	1	107	10	1	0	85
1.07	1	1	108	1	1	0	85
1.071	1	1	108	2	1	0	85
1.072	1	1	108	3	1	0	85
1.073	1	1	108	4	1	0	85
1.074	1	1	108	5	1	0	85
1.075	1	1	108	6	1	0	85
1.076	1	1	108	7	1	0	85
1.077	1	1	108	8	1	0	85
1.078	1	1	108	9	1	0	85
1.079	1	1	108	10	1	0	85
1.08	1	1	109	1	1	0	85
1.081	1	1	109	2	1	0	85
1.082	1	1	109	3	1	0	85
1.083	1	1	109	4	1	0	85
1.084	1	1	109	5	1	0	85
1.085	1	1	109	6	1	0	85
1.086	1	1	109	7	1	0	85
1.087	1	1	109	8	1	0	85
1.088	1	1	109	9	1	0	85
1.089	1	1	109	10	1	0	85
1.09	1	1	110	1	1	0	85
1.091	1	1	110	2	1	0	85
1.092	1	1	110	3	1	0	85
1.093	1	1	110	4	1	0	85
1.094	1	1	110	5	1	0	85
1.095	1	1	110	6	1	0	85
1.096	1	1	110	7	1	0	85
1.097	1	1	110	8	1	0	85
1.098	1	1	110	9	1	0	85
1.099	1	1	110	10	1	0	85
1.1	1	1	111	1	1	0	85
1.101	1	1	111	2	1	0	85
