SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,10.24,20,5,AODV,7.5
12,21.504,42,5,AODV,7.5
13,23.552,46,5,AODV,7.5
14,15.36,30,5,AODV,7.5
15,29.184,57,5,AODV,7.5
16,25.088,49,5,AODV,7.5
17,25.6,50,5,AODV,7.5
18,25.088,49,5,AODV,7.5
19,26.112,51,5,AODV,7.5
20,25.088,49,5,AODV,7.5
21,25.6,50,5,AODV,7.5
22,24.064,47,5,AODV,7.5
23,16.896,33,5,AODV,7.5
24,12.8,25,5,AODV,7.5
25,25.6,50,5,AODV,7.5
26,26.624,52,5,AODV,7.5
27,26.624,52,5,AODV,7.5
28,25.6,50,5,AODV,7.5
29,24.576,48,5,AODV,7.5
